aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts,city_name
133,687.0,2025-03-02:16,42.6,24.1,63.1,47.45,23.5,2025-03-02T21:30:00,2025-03-02T16:00:00,1740931200,Bengaluru
110,417.0,2025-03-02:15,56.0,17.1,75.3,39.0,25.3,2025-03-02T20:30:00,2025-03-02T15:00:00,1740927600,Bengaluru
152,72.1,2025-03-02:14,45.2,25.1,77.3,56.55,27.1,2025-03-02T19:30:00,2025-03-02T14:00:00,1740924000,Bengaluru
88,219.0,2025-03-02:13,50.7,19.2,46.7,29.67,16.0,2025-03-02T18:30:00,2025-03-02T13:00:00,1740920400,Bengaluru
94,636.1,2025-03-02:12,29.9,31.7,42.8,32.22,20.8,2025-03-02T17:30:00,2025-03-02T12:00:00,1740916800,Bengaluru
145,1431.3,2025-03-02:11,50.3,23.5,70.0,52.25,17.0,2025-03-02T16:30:00,2025-03-02T11:00:00,1740913200,Bengaluru
101,12.9,2025-03-02:10,34.8,29.4,49.0,35.38,20.8,2025-03-02T15:30:00,2025-03-02T10:00:00,1740909600,Bengaluru
87,625.0,2025-03-02:09,35.0,14.8,70.0,29.0,103.0,2025-03-02T14:30:00,2025-03-02T09:00:00,1740906000,Bengaluru
111,17.5,2025-03-02:08,34.6,26.9,55.0,39.62,21.9,2025-03-02T13:30:00,2025-03-02T08:00:00,1740902400,Bengaluru
118,121.0,2025-03-02:07,34.0,12.0,104.0,42.0,20.0,2025-03-02T12:30:00,2025-03-02T07:00:00,1740898800,Bengaluru
121,528.5,2025-03-02:06,33.3,25.3,57.5,43.15,24.8,2025-03-02T11:30:00,2025-03-02T06:00:00,1740895200,Bengaluru
116,207.0,2025-03-02:05,39.0,12.1,87.0,41.5,21.0,2025-03-02T10:30:00,2025-03-02T05:00:00,1740891600,Bengaluru
138,37.0,2025-03-02:04,36.5,24.0,69.9,49.46,21.2,2025-03-02T09:30:00,2025-03-02T04:00:00,1740888000,Bengaluru
100,458.5,2025-03-02:03,41.5,9.5,65.0,35.5,47.5,2025-03-02T08:30:00,2025-03-02T03:00:00,1740884400,Bengaluru
121,92.7,2025-03-02:02,40.0,21.2,62.8,43.25,26.8,2025-03-02T07:30:00,2025-03-02T02:00:00,1740880800,Bengaluru
123,454.0,2025-03-02:01,64.0,12.9,88.0,44.0,21.0,2025-03-02T06:30:00,2025-03-02T01:00:00,1740877200,Bengaluru
120,49.3,2025-03-02:00,36.4,22.8,59.8,42.67,25.6,2025-03-02T05:30:00,2025-03-02T00:00:00,1740873600,Bengaluru
103,1053.5,2025-03-01:23,53.5,8.9,56.0,36.5,35.0,2025-03-02T04:30:00,2025-03-01T23:00:00,1740870000,Bengaluru
103,64.4,2025-03-01:22,38.3,22.0,51.6,36.5,23.6,2025-03-02T03:30:00,2025-03-01T22:00:00,1740866400,Bengaluru
108,202.0,2025-03-01:21,36.5,10.4,66.0,38.5,20.5,2025-03-02T02:30:00,2025-03-01T21:00:00,1740862800,Bengaluru
127,78.4,2025-03-01:20,41.1,19.1,63.1,45.27,23.5,2025-03-02T01:30:00,2025-03-01T20:00:00,1740859200,Bengaluru
91,857.0,2025-03-01:19,34.0,9.3,76.0,31.0,70.0,2025-03-02T00:30:00,2025-03-01T19:00:00,1740855600,Bengaluru
127,763.3,2025-03-01:18,35.4,26.5,60.6,45.58,18.4,2025-03-01T23:30:00,2025-03-01T18:00:00,1740852000,Bengaluru
87,1068.0,2025-03-01:17,35.0,8.9,74.0,29.0,76.0,2025-03-01T22:30:00,2025-03-01T17:00:00,1740848400,Bengaluru
116,114.1,2025-03-01:16,42.1,20.3,59.6,41.25,21.1,2025-03-01T21:30:00,2025-03-01T16:00:00,1740844800,Bengaluru
108,1184.0,2025-03-01:15,45.0,11.0,86.0,38.5,42.0,2025-03-01T20:30:00,2025-03-01T15:00:00,1740841200,Bengaluru
156,158.7,2025-03-01:14,43.3,20.8,85.3,60.08,19.2,2025-03-01T19:30:00,2025-03-01T14:00:00,1740837600,Bengaluru
107,1079.0,2025-03-01:13,66.0,12.9,76.0,38.0,21.0,2025-03-01T18:30:00,2025-03-01T13:00:00,1740834000,Bengaluru
153,83.2,2025-03-01:12,39.8,25.2,76.1,55.08,22.7,2025-03-01T17:30:00,2025-03-01T12:00:00,1740830400,Bengaluru
