aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts,city_name
182,40.2,2025-03-02:16,55.4,26.2,115.4,79.18,37.2,2025-03-02T21:30:00,2025-03-02T16:00:00,1740931200,Mumbai
158,305.7,2025-03-02:15,30.0,12.4,160.0,61.33,41.0,2025-03-02T20:30:00,2025-03-02T15:00:00,1740927600,Mumbai
193,52.2,2025-03-02:14,46.7,41.3,125.5,88.05,34.4,2025-03-02T19:30:00,2025-03-02T14:00:00,1740924000,Mumbai
182,187.8,2025-03-02:13,65.1,28.9,129.1,79.75,36.9,2025-03-02T18:30:00,2025-03-02T13:00:00,1740920400,Mumbai
193,366.4,2025-03-02:12,30.9,63.2,120.3,87.58,37.3,2025-03-02T17:30:00,2025-03-02T12:00:00,1740916800,Mumbai
199,216.7,2025-03-02:11,67.5,50.8,146.0,92.64,39.2,2025-03-02T16:30:00,2025-03-02T11:00:00,1740913200,Mumbai
194,30.6,2025-03-02:10,39.4,65.2,126.4,88.7,45.3,2025-03-02T15:30:00,2025-03-02T10:00:00,1740909600,Mumbai
159,796.5,2025-03-02:09,120.5,34.4,119.3,62.0,49.0,2025-03-02T14:30:00,2025-03-02T09:00:00,1740906000,Mumbai
173,41.7,2025-03-02:08,38.7,54.8,102.8,72.57,42.9,2025-03-02T13:30:00,2025-03-02T08:00:00,1740902400,Mumbai
184,201.5,2025-03-02:07,122.5,15.2,147.8,81.25,77.3,2025-03-02T12:30:00,2025-03-02T07:00:00,1740898800,Mumbai
188,318.1,2025-03-02:06,41.4,46.8,114.2,84.0,51.5,2025-03-02T11:30:00,2025-03-02T06:00:00,1740895200,Mumbai
212,161.7,2025-03-02:05,109.7,31.4,160.0,102.33,103.7,2025-03-02T10:30:00,2025-03-02T05:00:00,1740891600,Mumbai
183,58.0,2025-03-02:04,66.0,22.4,113.3,80.34,54.0,2025-03-02T09:30:00,2025-03-02T04:00:00,1740888000,Mumbai
181,288.4,2025-03-02:03,101.8,21.9,143.6,79.0,45.8,2025-03-02T08:30:00,2025-03-02T03:00:00,1740884400,Mumbai
165,56.4,2025-03-02:02,68.2,8.7,95.9,67.0,44.8,2025-03-02T07:30:00,2025-03-02T02:00:00,1740880800,Mumbai
163,142.8,2025-03-02:01,76.9,8.5,103.1,64.89,30.0,2025-03-02T06:30:00,2025-03-02T01:00:00,1740877200,Mumbai
167,572.5,2025-03-02:00,51.3,12.2,92.5,68.35,57.3,2025-03-02T05:30:00,2025-03-02T00:00:00,1740873600,Mumbai
