aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts,city_name
112,138.9,2025-03-02:15,13.0,85.0,49.0,40.0,30.0,2025-03-02T20:30:00,2025-03-02T15:00:00,1740927600,Pune
161,1526.7,2025-03-02:14,50.3,70.3,90.4,63.78,27.8,2025-03-02T19:30:00,2025-03-02T14:00:00,1740924000,Pune
186,1526.7,2025-03-02:13,84.5,61.3,110.0,82.67,53.0,2025-03-02T18:30:00,2025-03-02T13:00:00,1740920400,Pune
146,916.0,2025-03-02:12,23.2,51.4,69.8,52.5,19.3,2025-03-02T17:30:00,2025-03-02T12:00:00,1740916800,Pune
173,981.4,2025-03-02:11,32.4,93.1,101.7,72.71,44.5,2025-03-02T16:30:00,2025-03-02T11:00:00,1740913200,Pune
161,954.2,2025-03-02:10,43.5,81.0,88.7,63.42,28.3,2025-03-02T15:30:00,2025-03-02T10:00:00,1740909600,Pune
183,1145.0,2025-03-02:09,160.0,157.5,106.0,80.0,33.0,2025-03-02T14:30:00,2025-03-02T09:00:00,1740906000,Pune
175,1321.2,2025-03-02:08,52.9,88.4,102.9,74.0,29.8,2025-03-02T13:30:00,2025-03-02T08:00:00,1740902400,Pune
181,1272.2,2025-03-02:07,84.3,102.6,116.7,78.72,35.7,2025-03-02T12:30:00,2025-03-02T07:00:00,1740898800,Pune
180,1335.8,2025-03-02:06,46.4,75.2,122.1,78.08,37.0,2025-03-02T11:30:00,2025-03-02T06:00:00,1740895200,Pune
223,2290.0,2025-03-02:05,219.0,132.7,147.0,110.0,40.3,2025-03-02T10:30:00,2025-03-02T05:00:00,1740891600,Pune
202,1585.4,2025-03-02:04,88.1,50.8,145.3,94.85,30.4,2025-03-02T09:30:00,2025-03-02T04:00:00,1740888000,Pune
129,147.7,2025-03-02:03,12.0,81.0,54.0,46.0,47.0,2025-03-02T08:30:00,2025-03-02T03:00:00,1740884400,Pune
212,1937.7,2025-03-02:02,88.7,6.2,143.4,101.92,17.6,2025-03-02T07:30:00,2025-03-02T02:00:00,1740880800,Pune
166,1106.1,2025-03-02:01,56.3,35.7,93.3,67.59,28.4,2025-03-02T06:30:00,2025-03-02T01:00:00,1740877200,Pune
181,1585.4,2025-03-02:00,78.4,13.0,112.9,78.38,19.1,2025-03-02T05:30:00,2025-03-02T00:00:00,1740873600,Pune
163,1438.6,2025-03-01:23,59.9,14.3,113.3,64.92,31.4,2025-03-02T04:30:00,2025-03-01T23:00:00,1740870000,Pune
186,1526.7,2025-03-01:22,75.0,18.6,114.8,82.75,20.6,2025-03-02T03:30:00,2025-03-01T22:00:00,1740866400,Pune
107,1145.0,2025-03-01:21,23.0,16.9,114.0,38.0,56.0,2025-03-02T02:30:00,2025-03-01T21:00:00,1740862800,Pune
181,1526.7,2025-03-01:20,69.8,24.6,123.2,78.5,19.9,2025-03-02T01:30:00,2025-03-01T20:00:00,1740859200,Pune
224,2290.0,2025-03-01:19,194.0,57.9,147.0,111.0,35.7,2025-03-02T00:30:00,2025-03-01T19:00:00,1740855600,Pune
181,1526.7,2025-03-01:18,83.5,31.7,117.2,78.42,25.6,2025-03-01T23:30:00,2025-03-01T18:00:00,1740852000,Pune
208,1145.0,2025-03-01:17,45.0,31.6,132.0,99.0,26.7,2025-03-01T22:30:00,2025-03-01T17:00:00,1740848400,Pune
175,1622.1,2025-03-01:16,66.8,41.3,108.3,74.5,27.9,2025-03-01T21:30:00,2025-03-01T16:00:00,1740844800,Pune
131,161.1,2025-03-01:15,18.0,95.0,51.0,47.0,29.0,2025-03-01T20:30:00,2025-03-01T15:00:00,1740841200,Pune
182,1526.7,2025-03-01:14,62.8,60.1,114.9,79.83,32.6,2025-03-01T19:30:00,2025-03-01T14:00:00,1740837600,Pune
224,1145.0,2025-03-01:13,65.0,84.0,149.0,111.0,29.9,2025-03-01T18:30:00,2025-03-01T13:00:00,1740834000,Pune
154,1353.2,2025-03-01:12,50.8,87.3,82.8,58.18,30.3,2025-03-01T17:30:00,2025-03-01T12:00:00,1740830400,Pune
