aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts,city_name
128,215.4,2025-03-04:11,25.7,92.1,99.7,45.67,29.2,2025-03-04T16:30:00,2025-03-04T11:00:00,1741086000,Ahmedabad
211,614.5,2025-03-04:10,81.5,37.8,209.0,101.0,39.0,2025-03-04T15:30:00,2025-03-04T10:00:00,1741082400,Ahmedabad
208,534.0,2025-03-04:09,71.0,34.2,201.0,99.0,37.5,2025-03-04T14:30:00,2025-03-04T09:00:00,1741078800,Ahmedabad
206,91.0,2025-03-04:08,40.2,42.0,141.8,97.91,25.5,2025-03-04T13:30:00,2025-03-04T08:00:00,1741075200,Ahmedabad
227,121.0,2025-03-04:07,56.0,61.1,170.8,113.25,45.3,2025-03-04T12:30:00,2025-03-04T07:00:00,1741071600,Ahmedabad
217,79.8,2025-03-04:06,37.1,35.3,150.8,106.1,34.4,2025-03-04T11:30:00,2025-03-04T06:00:00,1741068000,Ahmedabad
223,86.2,2025-03-04:05,58.5,55.5,155.3,110.17,52.5,2025-03-04T10:30:00,2025-03-04T05:00:00,1741064400,Ahmedabad
176,159.6,2025-03-04:04,66.8,25.7,108.7,74.89,40.2,2025-03-04T09:30:00,2025-03-04T04:00:00,1741060800,Ahmedabad
175,295.0,2025-03-04:03,89.6,29.0,112.4,74.2,42.0,2025-03-04T08:30:00,2025-03-04T03:00:00,1741057200,Ahmedabad
152,176.5,2025-03-04:02,56.8,9.4,90.3,54.75,46.5,2025-03-04T07:30:00,2025-03-04T02:00:00,1741053600,Ahmedabad
156,80.3,2025-03-04:01,48.0,17.3,85.0,59.9,33.0,2025-03-04T06:30:00,2025-03-04T01:00:00,1741050000,Ahmedabad
157,50.5,2025-03-04:00,41.8,14.8,82.5,60.5,24.0,2025-03-04T05:30:00,2025-03-04T00:00:00,1741046400,Ahmedabad
155,28.8,2025-03-03:23,35.6,20.1,80.9,59.27,25.9,2025-03-04T04:30:00,2025-03-03T23:00:00,1741042800,Ahmedabad
172,131.2,2025-03-03:22,65.0,11.1,104.0,72.2,46.6,2025-03-04T03:30:00,2025-03-03T22:00:00,1741039200,Ahmedabad
163,117.2,2025-03-03:21,36.4,19.9,89.9,65.5,34.6,2025-03-04T02:30:00,2025-03-03T21:00:00,1741035600,Ahmedabad
186,81.8,2025-03-03:20,49.7,17.8,112.7,82.8,34.9,2025-03-04T01:30:00,2025-03-03T20:00:00,1741032000,Ahmedabad
248,705.5,2025-03-03:19,136.5,0.8,226.0,129.0,20.0,2025-03-04T00:30:00,2025-03-03T19:00:00,1741028400,Ahmedabad
229,1145.0,2025-03-03:18,55.6,10.8,153.4,114.75,43.5,2025-03-03T23:30:00,2025-03-03T18:00:00,1741024800,Ahmedabad
231,563.7,2025-03-03:17,146.3,6.6,175.5,116.33,56.5,2025-03-03T22:30:00,2025-03-03T17:00:00,1741021200,Ahmedabad
200,750.0,2025-03-03:16,158.0,2.5,131.2,93.0,51.7,2025-03-03T21:30:00,2025-03-03T16:00:00,1741017600,Ahmedabad
209,403.2,2025-03-03:15,156.9,6.1,136.6,99.89,33.4,2025-03-03T20:30:00,2025-03-03T15:00:00,1741014000,Ahmedabad
176,308.8,2025-03-03:14,114.8,4.0,106.8,75.2,45.2,2025-03-03T19:30:00,2025-03-03T14:00:00,1741010400,Ahmedabad
176,96.9,2025-03-03:13,102.0,11.8,103.7,75.1,23.5,2025-03-03T18:30:00,2025-03-03T13:00:00,1741006800,Ahmedabad
152,508.9,2025-03-03:12,36.9,26.6,75.6,56.78,22.6,2025-03-03T17:30:00,2025-03-03T12:00:00,1741003200,Ahmedabad
167,151.8,2025-03-03:11,55.2,39.4,99.8,68.4,22.8,2025-03-03T16:30:00,2025-03-03T11:00:00,1740999600,Ahmedabad
154,484.0,2025-03-03:10,72.0,18.8,115.0,58.5,36.0,2025-03-03T15:30:00,2025-03-03T10:00:00,1740996000,Ahmedabad
168,214.5,2025-03-03:09,63.0,22.6,112.8,69.0,23.0,2025-03-03T14:30:00,2025-03-03T09:00:00,1740992400,Ahmedabad
173,191.8,2025-03-03:08,60.0,28.2,115.5,72.75,30.0,2025-03-03T13:30:00,2025-03-03T08:00:00,1740988800,Ahmedabad
