,aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts,city_name
41,114,247.5,2025-03-02:16,123.5,7.1,82.5,40.5,13.5,2025-03-02T21:30:00,2025-03-02T16:00:00,1740931200,Vepagunta
42,123,776.0,2025-03-02:15,187.0,4.3,160.0,44.0,13.0,2025-03-02T20:30:00,2025-03-02T15:00:00,1740927600,Vepagunta
43,168,504.5,2025-03-02:14,168.5,6.9,149.5,69.0,11.5,2025-03-02T19:30:00,2025-03-02T14:00:00,1740924000,Vepagunta
44,67,796.0,2025-03-02:13,198.0,4.6,82.0,20.0,14.0,2025-03-02T18:30:00,2025-03-02T13:00:00,1740920400,Vepagunta
45,131,1145.0,2025-03-02:12,86.0,10.3,62.0,47.0,10.0,2025-03-02T17:30:00,2025-03-02T12:00:00,1740916800,Vepagunta
46,65,383.0,2025-03-02:11,129.0,5.2,56.0,19.0,16.0,2025-03-02T16:30:00,2025-03-02T11:00:00,1740913200,Vepagunta
47,87,191.5,2025-03-02:10,99.0,8.5,55.0,29.0,17.5,2025-03-02T15:30:00,2025-03-02T10:00:00,1740909600,Vepagunta
48,89,514.0,2025-03-02:09,149.0,6.2,100.0,30.0,18.0,2025-03-02T14:30:00,2025-03-02T09:00:00,1740906000,Vepagunta
49,143,288.0,2025-03-02:08,120.5,10.6,100.5,51.5,20.5,2025-03-02T13:30:00,2025-03-02T08:00:00,1740902400,Vepagunta
50,118,413.0,2025-03-02:07,166.0,4.1,98.0,42.0,21.0,2025-03-02T12:30:00,2025-03-02T07:00:00,1740898800,Vepagunta
51,80,136.0,2025-03-02:06,18.0,89.0,32.0,26.0,66.0,2025-03-02T11:30:00,2025-03-02T06:00:00,1740895200,Vepagunta
52,118,413.0,2025-03-02:05,166.0,4.1,98.0,42.0,21.0,2025-03-02T10:30:00,2025-03-02T05:00:00,1740891600,Vepagunta
53,118,413.0,2025-03-02:04,166.0,4.1,98.0,42.0,21.0,2025-03-02T09:30:00,2025-03-02T04:00:00,1740888000,Vepagunta
54,155,192.0,2025-03-02:03,122.0,6.8,98.5,59.0,19.5,2025-03-02T08:30:00,2025-03-02T03:00:00,1740884400,Vepagunta
55,146,181.5,2025-03-02:02,117.5,6.9,87.5,52.5,17.0,2025-03-02T07:30:00,2025-03-02T02:00:00,1740880800,Vepagunta
56,98,393.0,2025-03-02:01,135.0,4.2,80.0,34.0,18.0,2025-03-02T06:30:00,2025-03-02T01:00:00,1740877200,Vepagunta
57,155,0.0,2025-03-02:00,79.0,9.7,78.0,59.0,17.0,2025-03-02T05:30:00,2025-03-02T00:00:00,1740873600,Vepagunta
58,126,413.0,2025-03-01:23,138.0,4.1,78.0,45.0,20.0,2025-03-02T04:30:00,2025-03-01T23:00:00,1740870000,Vepagunta
59,146,186.5,2025-03-01:22,105.5,7.0,80.0,52.5,24.0,2025-03-02T03:30:00,2025-03-01T22:00:00,1740866400,Vepagunta
60,123,383.0,2025-03-01:21,146.0,4.0,104.0,44.0,26.0,2025-03-02T02:30:00,2025-03-01T21:00:00,1740862800,Vepagunta
