aqi,co,no2,o3,pm10,pm25,so2,city_name,hour
153,544.0,54.0,10.4,96.0,55.0,30.0,Bengaluru,19
165,899.6,37.4,23.8,90.5,66.71,20.0,Bengaluru,18
153,557.7,45.0,14.1,115.7,55.0,31.3,Bengaluru,17
179,73.6,55.8,22.9,109.8,77.23,28.7,Bengaluru,16
151,1249.5,46.0,8.2,119.0,56.5,38.0,Bengaluru,15
184,151.6,59.0,22.0,115.5,81.21,20.9,Bengaluru,14
152,771.0,39.5,7.2,109.0,57.0,39.0,Bengaluru,13
161,1063.2,37.2,27.8,86.7,63.57,16.8,Bengaluru,12
133,700.5,39.5,7.3,103.0,47.5,29.0,Bengaluru,11
165,292.0,47.0,10.6,152.0,67.0,26.0,Bengaluru,10
154,185.0,25.0,22.5,97.8,55.33,30.8,Bengaluru,09
136,106.3,31.5,27.8,79.4,48.77,23.7,Bengaluru,08
134,287.5,43.7,21.4,78.0,48.0,37.3,Bengaluru,07
152,636.1,30.0,28.6,76.2,54.56,27.9,Bengaluru,06
140,151.9,48.9,19.7,70.6,50.29,24.3,Bengaluru,05
150,52.8,42.8,24.1,75.5,53.77,23.0,Bengaluru,04
104,373.0,63.0,7.8,60.0,37.0,51.0,Bengaluru,03
158,28.3,40.4,21.5,82.7,61.17,23.7,Bengaluru,02
100,353.0,60.0,6.7,64.0,35.0,55.0,Bengaluru,01
105,520.5,37.7,22.2,49.5,37.18,23.0,Bengaluru,00
78,1774.0,57.0,8.0,49.0,25.0,54.0,Bengaluru,23
125,36.2,38.3,21.0,61.4,44.82,21.1,Bengaluru,22
56,99.2,10.0,48.0,16.0,15.0,8.0,Bengaluru,21
108,458.0,39.9,20.7,51.2,38.3,21.7,Bengaluru,20
93,380.0,30.6,30.8,40.9,31.78,15.9,Bengaluru,19
113,520.5,40.8,22.3,53.4,40.17,19.9,Bengaluru,18
112,486.0,45.9,20.6,60.7,39.78,21.7,Bengaluru,17
133,687.0,42.6,24.1,63.1,47.45,23.5,Bengaluru,16
110,417.0,56.0,17.1,75.3,39.0,25.3,Bengaluru,15
152,72.1,45.2,25.1,77.3,56.55,27.1,Bengaluru,14
88,219.0,50.7,19.2,46.7,29.67,16.0,Bengaluru,13
94,636.1,29.9,31.7,42.8,32.22,20.8,Bengaluru,12
145,1431.3,50.3,23.5,70.0,52.25,17.0,Bengaluru,11
101,12.9,34.8,29.4,49.0,35.38,20.8,Bengaluru,10
