aqi,co,no2,o3,pm10,pm25,so2,city_name,hour
175,114.0,57.6,12.3,109.2,74.08,16.2,Kolkata,20
173,1260.0,97.0,4.9,128.0,73.0,19.0,Kolkata,19
168,1240.4,65.7,15.1,98.6,69.08,17.3,Kolkata,18
189,565.0,56.0,4.5,130.0,85.0,20.5,Kolkata,17
174,97.3,60.4,19.9,107.9,73.58,19.3,Kolkata,16
197,1169.0,104.0,7.1,148.0,91.0,29.0,Kolkata,15
202,78.3,61.9,33.9,145.6,94.44,30.9,Kolkata,14
223,137.6,68.2,23.3,154.4,110.0,37.0,Kolkata,13
209,1717.5,44.8,58.3,168.8,99.5,38.3,Kolkata,12
205,87.8,75.4,54.2,133.6,97.0,49.0,Kolkata,11
200,48.2,57.2,83.4,135.2,93.23,56.6,Kolkata,10
208,585.0,62.0,30.6,156.0,99.0,109.0,Kolkata,09
198,45.8,58.5,83.7,135.0,91.54,57.2,Kolkata,08
181,907.0,63.0,19.0,142.0,79.0,72.0,Kolkata,07
190,1056.9,55.8,64.5,123.9,85.54,45.8,Kolkata,06
173,937.0,68.0,14.1,130.0,73.0,79.0,Kolkata,05
168,78.2,58.1,36.2,102.8,68.67,44.0,Kolkata,04
167,459.0,39.5,8.8,108.5,68.5,37.0,Kolkata,03
155,121.7,62.7,17.8,89.3,59.27,28.8,Kolkata,02
135,487.3,43.3,8.0,76.3,48.33,16.0,Kolkata,01
151,792.7,56.0,13.5,81.2,56.15,16.2,Kolkata,00
157,1482.0,52.0,8.2,114.0,61.0,25.0,Kolkata,23
148,115.3,49.2,18.2,79.2,53.31,17.8,Kolkata,22
163,1482.0,58.0,9.4,138.0,65.0,32.0,Kolkata,21
158,123.3,54.8,18.9,95.3,61.5,23.7,Kolkata,20
129,0.0,23.0,5.5,61.0,46.0,17.0,Kolkata,19
160,104.3,56.3,20.2,98.8,63.09,20.4,Kolkata,18
159,584.5,48.5,7.7,107.5,62.5,24.5,Kolkata,17
161,104.2,55.7,22.9,97.7,64.0,19.8,Kolkata,16
168,685.0,91.0,11.4,138.0,69.0,83.0,Kolkata,15
156,58.6,69.3,30.9,93.6,60.08,39.2,Kolkata,14
145,0.0,91.0,25.6,69.0,52.0,90.0,Kolkata,13
164,14.1,69.4,31.8,113.9,65.85,38.4,Kolkata,12
144,274.9,54.3,96.7,96.4,51.78,37.8,Mumbai,11
255,648.3,212.7,33.4,156.0,45.67,1341.0,Mumbai,10
166,675.3,149.0,28.0,155.3,67.33,33.5,Mumbai,09
181,53.1,43.6,52.2,114.6,79.03,34.3,Mumbai,08
168,224.3,99.7,26.1,141.8,69.17,45.3,Mumbai,07
207,19.2,46.7,43.1,139.2,98.03,38.6,Mumbai,06
253,312.0,66.0,11.5,282.0,133.0,125.0,Mumbai,05
205,44.0,58.0,33.1,138.1,96.89,47.0,Mumbai,04
200,362.7,84.3,5.4,210.7,93.33,36.7,Mumbai,03
197,44.2,70.9,11.8,141.0,90.7,45.5,Mumbai,02
215,628.0,182.0,5.0,358.7,104.67,54.0,Mumbai,01
189,9.7,65.6,14.4,130.7,84.53,44.4,Mumbai,00
187,386.7,100.5,12.2,123.8,83.5,55.7,Mumbai,23
199,9.4,56.6,20.1,142.4,92.09,43.4,Mumbai,22
195,259.5,90.6,12.8,247.0,89.4,66.3,Mumbai,21
195,29.2,59.5,26.4,141.9,89.47,48.6,Mumbai,20
176,897.0,227.3,9.3,193.3,75.0,52.0,Mumbai,19
203,728.6,66.6,32.0,130.6,95.03,49.0,Mumbai,18
186,675.8,141.7,7.4,156.0,82.67,59.4,Mumbai,17
193,76.7,79.0,37.5,125.6,87.7,41.3,Mumbai,16
193,372.0,108.9,26.6,145.4,88.13,43.8,Mumbai,15
192,63.5,64.0,45.8,125.5,87.09,37.6,Mumbai,14
175,291.0,83.4,39.4,134.9,74.0,36.2,Mumbai,13
200,18.0,47.0,73.0,132.0,93.06,45.7,Mumbai,12
192,326.8,91.0,41.4,143.4,86.8,24.0,Mumbai,11
162,436.7,63.7,24.1,244.0,64.33,23.0,Mumbai,10
197,72.1,44.4,75.9,128.4,90.92,38.1,Mumbai,09
193,79.6,47.7,57.7,141.4,87.91,37.1,Mumbai,08
236,80.9,39.2,58.4,143.2,120.37,58.5,Mumbai,07
225,572.5,53.5,23.6,149.0,111.91,22.1,Mumbai,06
215,45.8,58.6,34.5,146.8,104.42,63.4,Mumbai,05
216,46.5,84.4,28.4,144.8,104.94,67.9,Mumbai,04
155,111.5,136.5,1.9,96.3,59.0,22.0,Mumbai,03
180,35.4,67.7,10.4,105.2,77.86,33.7,Mumbai,02
161,81.0,15.5,7.3,109.5,64.0,8.0,Mumbai,01
187,31.3,49.9,17.5,99.5,83.26,33.4,Mumbai,00
152,232.3,44.5,6.1,85.0,57.0,52.3,Mumbai,23
169,87.9,55.0,17.1,100.0,69.94,30.2,Mumbai,22
150,111.0,58.0,8.9,95.0,55.5,57.5,Mumbai,21
172,30.0,53.1,19.2,101.6,72.19,35.2,Mumbai,20
126,454.0,136.0,7.8,116.0,45.0,22.0,Mumbai,19
181,17.2,61.3,17.6,109.4,78.42,42.9,Mumbai,18
155,569.5,182.0,6.5,162.0,59.0,12.0,Mumbai,17
182,40.2,55.4,26.2,115.4,79.18,37.2,Mumbai,16
158,305.7,30.0,12.4,160.0,61.33,41.0,Mumbai,15
193,52.2,46.7,41.3,125.5,88.05,34.4,Mumbai,14
182,187.8,65.1,28.9,129.1,79.75,36.9,Mumbai,13
193,366.4,30.9,63.2,120.3,87.58,37.3,Mumbai,12
199,216.7,67.5,50.8,146.0,92.64,39.2,Mumbai,11
194,30.6,39.4,65.2,126.4,88.7,45.3,Mumbai,10
159,796.5,120.5,34.4,119.3,62.0,49.0,Mumbai,09
173,41.7,38.7,54.8,102.8,72.57,42.9,Mumbai,08
184,201.5,122.5,15.2,147.8,81.25,77.3,Mumbai,07
188,318.1,41.4,46.8,114.2,84.0,51.5,Mumbai,06
212,161.7,109.7,31.4,160.0,102.33,103.7,Mumbai,05
183,58.0,66.0,22.4,113.3,80.34,54.0,Mumbai,04
181,288.4,101.8,21.9,143.6,79.0,45.8,Mumbai,03
165,56.4,68.2,8.7,95.9,67.0,44.8,Mumbai,02
163,142.8,76.9,8.5,103.1,64.89,30.0,Mumbai,01
167,572.5,51.3,12.2,92.5,68.35,57.3,Mumbai,00
164,410.0,86.8,13.6,121.8,66.25,39.0,Mumbai,23
175,39.2,55.9,14.2,102.4,74.27,46.4,Mumbai,22
182,1431.0,363.0,2.4,125.0,79.67,55.0,Mumbai,21
195,47.8,76.2,17.0,127.3,88.91,43.6,Mumbai,20
207,1145.0,115.0,11.2,130.5,98.0,51.5,Mumbai,19
192,96.4,83.4,13.4,129.3,87.15,44.5,Mumbai,18
176,820.8,192.0,14.0,174.5,74.83,51.4,Mumbai,17
192,30.7,75.2,21.3,119.2,86.65,40.7,Mumbai,16
155,136.0,101.0,24.8,155.0,155.0,54.0,Mumbai,15
182,10.9,61.3,39.6,140.4,79.28,42.3,Mumbai,14
500,257.0,101.0,30.5,646.5,62.0,58.5,Mumbai,13
187,451.1,47.3,64.2,114.4,83.56,44.1,Mumbai,12
60,67.1,1.7,111.0,41.0,16.67,13.0,Pune,11
62,67.1,1.3,113.0,44.0,17.33,14.0,Pune,10
63,67.1,1.0,115.0,47.0,18.0,15.0,Pune,09
199,801.5,59.3,71.6,127.0,92.3,23.8,Pune,08
178,976.5,49.5,92.0,115.6,76.17,23.0,Pune,07
216,1431.3,73.8,80.5,149.8,105.25,27.0,Pune,06
233,1717.5,91.5,60.3,163.1,117.5,28.3,Pune,05
226,1017.8,54.2,66.7,164.1,112.22,34.7,Pune,04
265,2290.0,127.0,20.1,189.5,142.0,31.0,Pune,03
201,2175.5,60.2,6.4,137.0,93.9,20.7,Pune,02
240,4007.5,99.0,2.3,163.5,123.0,19.0,Pune,01
201,1431.3,71.8,9.2,133.3,93.58,16.2,Pune,00
197,1526.7,91.2,6.4,126.8,90.89,14.8,Pune,23
209,1488.5,59.7,7.1,144.2,100.0,24.0,Pune,22
190,1717.5,130.0,1.0,114.0,85.5,12.0,Pune,21
198,1873.6,62.3,6.3,134.3,91.64,22.3,Pune,20
201,1971.9,105.7,5.5,131.2,93.94,19.9,Pune,19
207,2099.2,93.5,7.8,139.8,98.17,23.8,Pune,18
181,2290.0,120.0,0.0,106.0,79.0,24.6,Pune,17
187,2194.6,75.7,14.4,118.3,83.33,25.8,Pune,16
180,1145.0,126.0,55.0,104.0,78.0,26.0,Pune,15
187,1665.5,74.4,27.4,117.9,82.91,24.5,Pune,14
156,1145.0,84.0,55.1,80.0,60.0,10.0,Pune,13
176,1233.1,64.5,56.3,105.8,75.31,20.8,Pune,12
178,1346.8,60.6,62.2,107.7,76.58,20.0,Pune,11
180,1460.6,56.7,68.1,109.6,77.85,19.3,Pune,10
182,1574.4,52.8,74.0,111.5,79.13,18.5,Pune,09
167,954.2,38.5,85.1,102.2,68.33,19.8,Pune,08
198,1308.6,46.8,87.2,122.0,91.43,28.0,Pune,07
254,1145.0,50.0,60.8,178.3,133.67,29.0,Pune,06
193,1488.5,79.8,73.8,127.7,87.8,43.0,Pune,05
211,1717.5,87.5,51.9,143.4,101.0,42.3,Pune,04
139,160.5,15.0,63.0,67.0,50.0,39.0,Pune,03
194,1769.5,76.2,6.6,124.2,88.27,21.4,Pune,02
246,3435.0,285.0,100.0,170.0,128.0,26.9,Pune,01
191,1561.4,60.8,13.5,121.7,85.91,20.8,Pune,00
193,2290.0,99.2,15.6,117.0,88.0,26.2,Pune,23
192,1457.3,63.5,15.0,122.7,86.64,25.3,Pune,22
181,2290.0,176.0,62.2,106.0,79.0,37.0,Pune,21
192,1717.5,65.6,31.2,124.0,86.83,24.8,Pune,20
188,1873.6,112.1,48.0,118.3,84.21,34.5,Pune,19
192,1665.5,80.2,40.9,124.5,86.82,33.2,Pune,18
181,2290.0,42.0,66.7,106.0,79.0,32.1,Pune,17
188,1717.5,60.9,67.6,121.3,84.25,28.5,Pune,16
112,138.9,13.0,85.0,49.0,40.0,30.0,Pune,15
161,1526.7,50.3,70.3,90.4,63.78,27.8,Pune,14
186,1526.7,84.5,61.3,110.0,82.67,53.0,Pune,13
146,916.0,23.2,51.4,69.8,52.5,19.3,Pune,12
173,981.4,32.4,93.1,101.7,72.71,44.5,Pune,11
161,954.2,43.5,81.0,88.7,63.42,28.3,Pune,10
183,1145.0,160.0,157.5,106.0,80.0,33.0,Pune,09
175,1321.2,52.9,88.4,102.9,74.0,29.8,Pune,08
181,1272.2,84.3,102.6,116.7,78.72,35.7,Pune,07
180,1335.8,46.4,75.2,122.1,78.08,37.0,Pune,06
223,2290.0,219.0,132.7,147.0,110.0,40.3,Pune,05
202,1585.4,88.1,50.8,145.3,94.85,30.4,Pune,04
129,147.7,12.0,81.0,54.0,46.0,47.0,Pune,03
212,1937.7,88.7,6.2,143.4,101.92,17.6,Pune,02
166,1106.1,56.3,35.7,93.3,67.59,28.4,Pune,01
181,1585.4,78.4,13.0,112.9,78.38,19.1,Pune,00
163,1438.6,59.9,14.3,113.3,64.92,31.4,Pune,23
186,1526.7,75.0,18.6,114.8,82.75,20.6,Pune,22
107,1145.0,23.0,16.9,114.0,38.0,56.0,Pune,21
181,1526.7,69.8,24.6,123.2,78.5,19.9,Pune,20
224,2290.0,194.0,57.9,147.0,111.0,35.7,Pune,19
181,1526.7,83.5,31.7,117.2,78.42,25.6,Pune,18
208,1145.0,45.0,31.6,132.0,99.0,26.7,Pune,17
175,1622.1,66.8,41.3,108.3,74.5,27.9,Pune,16
131,161.1,18.0,95.0,51.0,47.0,29.0,Pune,15
182,1526.7,62.8,60.1,114.9,79.83,32.6,Pune,14
224,1145.0,65.0,84.0,149.0,111.0,29.9,Pune,13
154,1353.2,50.8,87.3,82.8,58.18,30.3,Pune,12
100,84.0,4.0,99.0,40.0,35.0,6.0,Gajuwaka,09
98,504.0,141.0,5.8,98.0,34.0,23.0,Gajuwaka,08
150,675.0,139.0,6.1,128.0,54.0,13.0,Gajuwaka,07
171,338.0,113.5,9.9,125.0,71.5,11.5,Gajuwaka,06
171,474.0,133.0,7.8,156.0,71.33,13.0,Gajuwaka,05
163,288.0,119.0,6.8,121.5,65.5,12.0,Gajuwaka,04
171,746.0,172.0,3.6,218.0,71.0,16.0,Gajuwaka,03
231,479.5,100.5,6.9,195.5,116.5,25.5,Gajuwaka,02
104,544.0,117.0,4.2,82.0,37.0,23.0,Gajuwaka,01
176,1145.0,66.0,10.6,100.0,75.0,20.0,Gajuwaka,00
78,262.0,96.0,4.2,62.0,25.0,21.0,Gajuwaka,23
102,96.0,63.5,7.3,64.0,36.0,8.0,Gajuwaka,22
98,202.0,105.0,4.1,92.0,34.0,12.0,Gajuwaka,21
153,101.0,87.0,6.9,90.0,55.0,13.5,Gajuwaka,20
63,333.0,122.0,4.1,56.0,18.0,22.0,Gajuwaka,19
90,216.5,91.0,7.0,58.0,30.5,23.5,,18
97,954.0,108.7,6.1,92.0,33.67,18.7,Gajuwaka,17
93,873.0,101.0,6.9,64.5,32.0,23.0,Gajuwaka,16
112,2429.0,144.0,4.4,160.0,40.0,9.0,Gajuwaka,15
134,677.0,107.0,7.1,129.5,48.0,8.5,Gajuwaka,14
78,635.0,139.0,4.2,88.0,25.0,10.0,Gajuwaka,13
199,1145.0,75.0,9.4,122.0,92.0,10.0,Gajuwaka,12
61,60.0,146.0,4.2,54.0,17.0,8.0,Gajuwaka,11
52,60.0,164.0,4.5,56.0,13.0,7.0,Gajuwaka,10
89,60.0,140.0,7.2,74.5,30.0,6.5,Gajuwaka,09
125,60.0,153.5,6.2,100.0,44.5,5.0,Gajuwaka,08
160,55.5,150.5,6.6,131.0,63.0,15.0,Gajuwaka,07
118,514.0,212.0,5.0,154.0,42.0,27.0,Gajuwaka,06
228,0.0,104.0,9.4,152.0,114.0,26.0,Gajuwaka,05
195,333.0,141.5,6.8,153.0,89.5,23.0,Gajuwaka,04
93,595.0,149.0,4.3,92.0,32.0,22.0,Gajuwaka,03
152,217.0,104.0,7.2,92.0,54.5,20.0,Gajuwaka,02
110,343.0,132.0,4.4,82.0,39.0,16.0,Gajuwaka,01
155,0.0,65.0,9.7,79.0,59.0,16.0,Gajuwaka,00
118,232.0,126.0,4.2,80.0,42.0,16.0,Gajuwaka,23
123,111.0,96.0,7.0,76.5,44.0,12.5,Gajuwaka,22
69,212.0,135.0,4.0,58.0,21.0,15.0,Gajuwaka,21
98,156.0,108.0,6.4,61.5,34.0,14.5,Gajuwaka,20
89,343.0,173.0,3.9,72.0,30.0,15.0,Gajuwaka,19
155,0.0,93.0,11.0,79.0,59.0,15.0,Gajuwaka,18
80,403.0,180.0,4.2,66.0,26.0,16.0,Gajuwaka,17
114,247.5,123.5,7.1,82.5,40.5,13.5,Gajuwaka,16
123,776.0,187.0,4.3,160.0,44.0,13.0,Gajuwaka,15
168,504.5,168.5,6.9,149.5,69.0,11.5,Gajuwaka,14
67,796.0,198.0,4.6,82.0,20.0,14.0,Gajuwaka,13
131,1145.0,86.0,10.3,62.0,47.0,10.0,Gajuwaka,12
65,383.0,129.0,5.2,56.0,19.0,16.0,Gajuwaka,11
87,191.5,99.0,8.5,55.0,29.0,17.5,Gajuwaka,10
89,514.0,149.0,6.2,100.0,30.0,18.0,Gajuwaka,09
143,288.0,120.5,10.6,100.5,51.5,20.5,Gajuwaka,08
118,413.0,166.0,4.1,98.0,42.0,21.0,Gajuwaka,07
76,96.3,11.0,80.0,28.0,24.0,42.0,Gajuwaka,06
118,413.0,166.0,4.1,98.0,42.0,21.0,Gajuwaka,05
118,413.0,166.0,4.1,98.0,42.0,21.0,Gajuwaka,04
155,192.0,122.0,6.8,98.5,59.0,19.5,Gajuwaka,03
146,181.5,117.5,6.9,87.5,52.5,17.0,Gajuwaka,02
98,393.0,135.0,4.2,80.0,34.0,18.0,Gajuwaka,01
155,0.0,79.0,9.7,78.0,59.0,17.0,Gajuwaka,00
126,413.0,138.0,4.1,78.0,45.0,20.0,Gajuwaka,23
146,186.5,105.5,7.0,80.0,52.5,24.0,Gajuwaka,22
123,383.0,146.0,4.0,104.0,44.0,26.0,Gajuwaka,21
159,181.5,110.0,6.7,108.5,62.0,25.0,Gajuwaka,20
100,312.0,152.0,4.0,100.0,35.0,16.0,Gajuwaka,19
179,0.0,75.0,9.8,103.0,77.0,15.0,Gajuwaka,18
100,948.0,189.0,3.9,106.0,35.0,16.0,Gajuwaka,17
171,525.0,150.5,6.1,154.5,71.5,20.0,Gajuwaka,16
93,877.0,193.0,4.8,72.0,32.0,19.0,Gajuwaka,15
119,187.0,127.5,7.8,72.5,42.5,19.0,Gajuwaka,14
104,302.0,127.0,5.8,78.0,37.0,18.0,Gajuwaka,13
153,0.0,67.0,12.9,73.0,55.0,17.0,Gajuwaka,12
121,302.0,133.0,6.6,92.0,43.0,17.0,Gajuwaka,11
161,216.5,99.0,13.5,120.5,64.0,19.5,Gajuwaka,10
